problem_id,concept_id,question_text,image_url,problem_type,choice_1,choice_2,choice_3,choice_4,correct_answer,difficulty
1412,1291,빨대 두 개를 비교할 때 더 짧은 빨대를 알아보는 방법은?,,MCQ,색깔을 본다,한쪽 끝을 맞추고 본다,두께를 본다,무게를 잰다,2,0
1413,1291,책이 가장 길고 지우개가 가장 짧다면 연필은 어느 위치에 있는 길이입니까?,,MCQ,가장 긴 길이,중간 길이,가장 짧은 길이,같은 길이,2,3
1414,1294,다음 중 물을 가장 많이 담을 수 있는 그릇은?,,MCQ,작은 종이컵,양동이,숟가락,빨대,2,-3
1415,1294,두 그릇에 같은 양의 물이 들어갔는지 알아보는 가장 좋은 방법은?,,MCQ,색을 본다,같은 컵으로 옮겨 부어 비교한다,무게를 비교한다,모양을 본다,2,0
1416,1294,같은 컵으로 물을 부어 통 A는 4컵 통 B는 6컵이 들어갔습니다. 두 통의 차이는 몇 컵입니까?,,MCQ,1컵,2컵,3컵,10컵,2,3
1417,4,10개씩 묶음 3개와 낱개 6개로 이루어진 수는?,,MCQ,36,63,360,9,1,-3
1418,4,28에서 낱개의 수는?,,MCQ,2,8,20,28,2,0
1419,4,10개씩 묶음 1개와 낱개 9개인 수와 같은 것은?,,MCQ,19,91,109,10,1,3
1420,22,30 바로 앞에 오는 수는?,,MCQ,28,29,31,40,2,-3
1421,22,41과 43 사이의 수는?,,MCQ,40,42,44,50,2,0
1422,22,25부터 30까지의 수를 모두 차례로 쓰면 모두 몇 개의 수입니까?,,MCQ,4개,5개,6개,7개,3,3
1423,23,30과 25 중 더 큰 수는?,,MCQ,25,30,같다,알 수 없다,2,-3
1424,23,10개씩 묶음 5개와 낱개 0개인 수와 10개씩 묶음 4개와 낱개 9개인 수 중 더 큰 수는?,,MCQ,50,49,같다,알 수 없다,1,0
1425,23,다음 중 두 번째로 큰 수는?,,MCQ,18,27,32,39,3,3
1426,24,다섯 명이 일렬로 섰을 때 맨 마지막 사람은 몇째입니까?,,MCQ,첫째,둘째,다섯째,일곱째,3,-3
1427,24,'앞에서부터 셋째'라는 말은 무엇을 의미합니까?,,MCQ,앞에서부터 세 번째로 서 있다,마지막에 있다,어디에서나 셋째이다,알 수 없다,1,0
1428,24,여섯 명이 줄을 섰을 때 앞에서 둘째는 뒤에서 몇째입니까?,,MCQ,셋째,넷째,다섯째,여섯째,3,3
1429,25,4-4는 얼마입니까?,,MCQ,0,1,4,8,1,-3
1430,25,다음 중 0과 같은 수는?,,MCQ,1,0+0,1+1,0+1,2,0
1431,25,동전이 한 개도 없을 때 동전의 수는?,,MCQ,0,1,10,알 수 없다,1,3
1432,36,'6+2=8'을 바르게 읽은 것은?,,MCQ,6 더하기 2는 8과 같다,6 빼기 2는 8,8 더하기 2는 6,6과 2는 8이 아니다,1,-3
1433,36,'3+5'에서 '+'는 어떤 의미입니까?,,MCQ,빼기,더하기,같다,곱하기,2,0
1434,36,다음 중 덧셈식을 올바르게 쓴 것은?,,MCQ,4=2+6,2+3=7,5+1=6,7+3,3,3
1435,33,토끼 인형 1마리와 토끼 인형 4마리를 더하면 모두 몇 마리입니까?,,MCQ,3,4,5,6,3,-3
1436,33,자동차 5대와 자동차 3대를 더하면 모두 몇 대입니까?,,MCQ,6,7,8,9,3,0
1437,33,풍선 4개와 풍선 6개를 더하면 모두 몇 개입니까?,,MCQ,8,9,10,11,3,3
1438,32,2와 3을 모으면 얼마가 됩니까?,,MCQ,4,5,6,7,2,-3
1439,32,어떤 두 수를 모으면 7이 됩니까?,,MCQ,3과 5,4와 3,2와 4,1과 7,2,0
1440,32,9를 두 수로 모은 식이 아닌 것은?,,MCQ,4+5,3+6,2+7,8+2,4,3
1441,37,'8-5=3'을 바르게 읽은 것은?,,MCQ,8 더하기 5는 3,8 빼기 5는 3과 같다,8과 5는 3,8 빼기 3은 5와 같다,2,-3
1442,37,'6-2'에서 '-'는 어떤 의미입니까?,,MCQ,더하기,빼기,같다,곱하기,2,0
1443,37,다음 중 뺄셈식을 올바르게 쓴 것은?,,MCQ,9-3=5,7-1=6,8-2=5,5-1=3,2,3
1444,34,사과 7개 중 2개를 먹었습니다. 남은 사과는 몇 개입니까?,,MCQ,4,5,6,9,2,-3
1445,34,빵 10개 중 4개를 친구에게 주었습니다. 남은 빵은 몇 개입니까?,,MCQ,5,6,7,14,2,0
1446,34,책 8권 중 3권을 동생에게 주고 1권을 친구에게 주었습니다. 남은 책은 몇 권입니까?,,MCQ,3,4,5,6,2,3
1447,35,5를 2와 어떤 수로 가를 수 있습니까?,,MCQ,2,3,4,7,2,-3
1448,35,9를 5와 어떤 수로 가를 수 있습니까?,,MCQ,3,4,5,14,2,0
1449,35,8-5의 답을 가르기로 구하면? (8=5+□),,MCQ,2,3,4,13,2,3
1450,38,0+0은 얼마입니까?,,MCQ,0,1,2,10,1,-3
1451,38,9+0과 같은 값을 가지는 식은?,,MCQ,9-9,0+9,9+9,9÷9,2,0
1452,38,(3+0)+(0+4)의 값은?,,MCQ,5,6,7,8,3,3
1453,39,4-0은 얼마입니까?,,MCQ,0,1,4,40,3,-3
1454,39,9-0과 같은 값을 가지는 식은?,,MCQ,0-9,9+0,9-9,9-1,2,0
1455,39,다음 식들 중 답이 자기 자신과 같은 식은?,,MCQ,5-5,5-0,5+5,0+0,2,3
1456,1,10이라는 수는 어떤 수의 바로 다음 수입니까?,,MCQ,8 다음,9 다음,10 다음,11 다음,2,-3
1457,1,다음 중 10과 같은 수는?,,MCQ,9,10,11,5+4,2,0
1458,1,10은 1을 몇 번 모은 수입니까?,,MCQ,8번,9번,10번,11번,3,3
1459,2,10개씩 묶음 1개와 낱개 6개를 합하면 얼마입니까?,,MCQ,16,61,116,7,1,-3
1460,2,13에서 낱개의 수는?,,MCQ,1,3,13,30,2,0
1461,2,다음 중 십몇에 속하는 수는?,,MCQ,9,15,25,100,2,3
1462,3,10이 4개인 수는?,,MCQ,4,14,40,104,3,-3
1463,3,다음 중 몇십이 아닌 수는?,,MCQ,20,30,35,40,3,0
1464,3,70은 10개씩 묶음이 몇 개입니까?,,MCQ,4개,5개,6개,7개,4,3
1465,10,'서른넷'을 숫자로 바르게 쓴 것은?,,MCQ,24,34,43,64,2,-3
1466,10,67을 바르게 읽은 것은?,,MCQ,예순일곱,일흔여섯,예순여섯,여든일곱,1,0
1467,10,다음 중 잘못 읽은 것은?,,MCQ,25는 스물다섯,41은 쉰하나,56은 쉰여섯,89는 여든아홉,2,3
1468,11,73 바로 앞의 수는?,,MCQ,71,72,74,75,2,-3
1469,11,50보다 1만큼 큰 수는?,,MCQ,49,51,52,60,2,0
1470,11,"95, 96, 97 다음에 오는 두 수는?",,MCQ,98과 99,99와 100,98과 100,100과 101,1,3
1471,26,60과 80 중 더 작은 수는?,,MCQ,60,80,같다,알 수 없다,1,-3
1472,26,다음 중 50보다 크고 60보다 작은 수는?,,MCQ,45,55,65,75,2,0
1473,26,다음 중 가장 작은 수는?,,MCQ,78,87,69,96,3,3
1474,12,다음 중 홀수는?,,MCQ,2,4,6,7,4,-3
1475,12,다음 중 짝수가 아닌 것은?,,MCQ,8,11,14,16,2,0
1476,12,1부터 10까지의 수 중 짝수의 개수는?,,MCQ,3개,4개,5개,6개,3,3
1477,177,12+5는 얼마입니까?,,MCQ,16,17,18,19,2,-3
1478,177,46+3은 얼마입니까?,,MCQ,47,48,49,50,3,0
1479,177,어떤 수에 4를 더했더니 27이 되었습니다. 어떤 수는?,,MCQ,22,23,24,31,2,3
1480,175,10+20은 얼마입니까?,,MCQ,20,30,40,50,2,-3
1481,175,50+30은 얼마입니까?,,MCQ,60,70,80,90,3,0
1482,175,두 몇십의 합이 70이 되는 식은?,,MCQ,30+50,20+50,40+40,60+20,2,3
1483,178,15+22는 얼마입니까?,,MCQ,35,36,37,38,3,-3
1484,178,32+45는 얼마입니까?,,MCQ,67,77,78,87,2,0
1485,178,53+22와 같은 값을 가지는 식은?,,MCQ,50+25,60+15,70+5,40+35,1,3
1486,173,빵 4개와 빵 3개를 더하면 모두 몇 개입니까?,,MCQ,6,7,8,9,2,-3
1487,173,친구 5명과 친구 4명이 모이면 모두 몇 명입니까?,,MCQ,8,9,10,11,2,0
1488,173,어제 책 6권을 읽었고 오늘 7권을 더 읽었다면 모두 몇 권을 읽었습니까?,,MCQ,12,13,14,15,2,3
1489,174,컵 5개 중 1개가 깨졌습니다. 남은 컵은 몇 개입니까?,,MCQ,3,4,5,6,2,-3
1490,174,색종이 11장 중 4장을 사용했습니다. 남은 색종이는 몇 장입니까?,,MCQ,5,6,7,15,3,0
1491,174,사과 14개에서 8개를 친구에게 주고 다시 2개를 더 받았습니다. 사과는 모두 몇 개입니까?,,MCQ,8,9,10,20,1,3
1492,827,TV 화면의 모양은?,,MCQ,네모,세모,동그라미,별,1,-3
1493,827,다음 중 동그라미 모양인 것은?,,MCQ,책,시계 둘레,액자,우편엽서,2,0
1494,827,"모자, 동전, 손수건 중 동그라미 모양에 가장 가까운 것은?",,MCQ,모자,동전,손수건,모두,2,3
1495,828,네모의 마주 보는 변의 길이는 어떻습니까?,,MCQ,같다,다르다,두 변만 같다,알 수 없다,1,-3
1496,828,다음 중 네모 모양인 것은?,,MCQ,시계,손수건,동전,야구공,2,0
1497,828,정사각형 모양의 색종이를 대각선으로 한 번 접으면 어떤 모양 두 개가 생깁니까?,,MCQ,네모,세모,동그라미,별,2,3
1498,830,세모는 변과 꼭짓점이 모두 몇 개씩 있습니까?,,MCQ,각 2개,각 3개,각 4개,알 수 없다,2,-3
1499,830,다음 중 세모 모양과 가장 비슷한 것은?,,MCQ,책,삼각자,동전,컵,2,0
1500,830,세모 두 개를 변끼리 이어 붙이면 만들 수 있는 모양은?,,MCQ,동그라미,네모,세모,별,2,3
1501,829,동그라미는 변이 몇 개입니까?,,MCQ,0개,1개,3개,4개,1,-3
1502,829,다음 중 동그라미 모양인 것은?,,MCQ,야구공의 단면,책,액자,우편엽서,1,0
1503,829,동그라미 모양은 어떤 점이 다른 모양과 다릅니까?,,MCQ,꼭짓점이 없다,변이 4개다,평평하다,색이 다르다,1,3
1504,831,세모 모양 한 개와 세모 모양 한 개를 합치면 만들 수 있는 모양은?,,MCQ,더 큰 세모 또는 네모,동그라미,별,모름,1,-3
1505,831,동그라미 모양 두 개를 가까이 그리면 어떤 모양처럼 보입니까?,,MCQ,안경,별,집,동그라미,1,0
1506,831,큰 네모 한 개와 작은 세모 두 개로 만들 수 있는 모양은?,,MCQ,집과 지붕,자동차,별,동그라미,1,3
1507,187,사탕 2개와 사탕 4개를 합하면 모두 몇 개입니까?,,MCQ,4,5,6,7,3,-3
1508,187,노란색 구슬 7개와 빨간색 구슬 2개가 있습니다. 구슬은 모두 몇 개입니까?,,MCQ,8,9,10,14,2,0
1509,187,동생이 사탕 3개를 주고 형이 사탕 4개를 주었을 때 사탕은 모두 몇 개입니까?,,MCQ,6,7,8,12,2,3
1510,188,1+1=2 / 1+2=3 / 1+3=□ 일 때 □의 값은?,,MCQ,3,4,5,6,2,-3
1511,188,5+1=6 / 5+2=7 / 5+3=□ 일 때 □의 값은?,,MCQ,7,8,9,10,2,0
1512,188,6+0=6 / 6+1=7 / 6+2=8 / 6+3=□ 일 때 □의 값은?,,MCQ,8,9,10,11,2,3
1513,189,강아지 5마리 중 1마리가 사라졌습니다. 남은 강아지는 몇 마리입니까?,,MCQ,3,4,5,6,2,-3
1514,189,색연필 12자루 중 7자루를 사용했습니다. 남은 색연필은 몇 자루입니까?,,MCQ,4,5,6,19,2,0
1515,189,가게에 빵 15개가 있었는데 8개를 팔고 다시 2개를 더 만들었습니다. 남은 빵은 몇 개입니까?,,MCQ,7,8,9,23,3,3
1516,190,6-1=5 / 6-2=4 / 6-3=□ 일 때 □의 값은?,,MCQ,2,3,4,5,2,-3
1517,190,10-2=8 / 10-3=7 / 10-4=□ 일 때 □의 값은?,,MCQ,5,6,7,8,2,0
1518,190,7-1=6 / 7-2=5 / 7-3=4 / 7-4=□ 일 때 □의 값은?,,MCQ,2,3,4,5,2,3
1519,201,10을 9와 어떤 수로 가르면 됩니까?,,MCQ,0,1,2,9,2,-3
1520,201,10에서 4를 빼는 가르기를 식으로 나타내면?,,MCQ,10=4+6,10=5+5,10=3+7,10=4+5,1,0
1521,201,10을 두 수로 가를 때 가능한 짝의 수는? (0과 10도 포함),,MCQ,4개,5개,6개,7개,3,3
1522,13,60은 10이 몇 개입니까?,,MCQ,5개,6개,7개,8개,2,-3
1523,13,10이 7개인 수는?,,MCQ,60,70,80,90,2,0
1524,13,70+10과 80은 같습니까?,,MCQ,같다,70+10이 크다,80이 크다,알 수 없다,1,3
1525,27,100보다 1만큼 작은 수는?,,MCQ,99,100,101,109,1,-3
1526,27,다음 중 100을 나타내는 다른 표현은?,,MCQ,99보다 1 큰 수,90보다 1 큰 수,100보다 1 큰 수,1보다 100 큰 수,1,0
1527,27,100은 1을 몇 번 모은 수입니까?,,MCQ,10번,50번,100번,1000번,3,3
1528,28,'7 □ 4'에서 □에 알맞은 기호는? (7과 4의 크기 비교),,MCQ,<,>,=,÷,2,-3
1529,28,'24는 25보다 작다'를 알맞게 나타낸 식은?,,MCQ,24=25,24<25,24>25,24+25,2,0
1530,28,다음 중 옳지 않은 식은?,,MCQ,35<40,50>49,18=18,20>30,4,3
1531,180,19-4는 얼마입니까?,,MCQ,14,15,16,23,2,-3
1532,180,58-6은 얼마입니까?,,MCQ,51,52,53,64,2,0
1533,180,어떤 수에서 5를 뺐더니 32가 되었습니다. 어떤 수는?,,MCQ,27,32,37,38,3,3
1534,176,40-10은 얼마입니까?,,MCQ,20,30,40,50,2,-3
1535,176,70-50은 얼마입니까?,,MCQ,10,20,30,120,2,0
1536,176,어떤 몇십에서 30을 뺐더니 40이 되었습니다. 어떤 몇십은?,,MCQ,60,70,80,130,2,3
1537,179,28-15는 얼마입니까?,,MCQ,12,13,14,43,2,-3
1538,179,49-26은 얼마입니까?,,MCQ,22,23,24,75,2,0
1539,179,어떤 두 자릿수에서 35를 뺐더니 22가 되었습니다. 어떤 수는?,,MCQ,57,58,67,13,1,3
1540,203,2+2+2는 얼마입니까?,,MCQ,4,5,6,7,3,-3
1541,203,3+3+3은 얼마입니까?,,MCQ,7,8,9,10,3,0
1542,203,어떤 세 수의 합이 12입니다. 두 수가 5와 4일 때 나머지 한 수는?,,MCQ,2,3,4,13,2,3
1543,204,7-2-1은 얼마입니까?,,MCQ,3,4,5,6,2,-3
1544,204,9-1-3은 얼마입니까?,,MCQ,4,5,6,13,2,0
1545,204,10에서 두 수를 빼서 1이 되었을 때 두 수의 합은?,,MCQ,8,9,10,11,2,3
1546,191,3+6은 얼마입니까?,,MCQ,8,9,10,11,2,-3
1547,191,5+5는 얼마입니까?,,MCQ,9,10,11,12,2,0
1548,191,어떤 수와 4를 더하면 12가 됩니다. 어떤 수는?,,MCQ,7,8,9,16,2,3
1549,183,1+□=10일 때 □는?,,MCQ,8,9,10,11,2,-3
1550,183,5+□=10일 때 □는?,,MCQ,4,5,6,15,2,0
1551,183,다음 두 수를 더하여 10이 되는 짝은?,,MCQ,4와 7,3과 7,5와 4,2와 9,2,3
1552,184,10-1은 얼마입니까?,,MCQ,8,9,10,11,2,-3
1553,184,10-3은 얼마입니까?,,MCQ,6,7,8,13,2,0
1554,184,10에서 어떤 수를 뺐더니 5가 되었습니다. 어떤 수는?,,MCQ,4,5,6,15,2,3
1555,205,6+4+2 에서 앞의 두 수의 합은?,,MCQ,8,9,10,11,3,-3
1556,205,(8+2)+6의 값은?,,MCQ,14,15,16,17,3,0
1557,205,7+3+□=15가 되려면 □는?,,MCQ,3,4,5,6,3,3
1558,206,4+(3+7)에서 안쪽 두 수의 합은?,,MCQ,8,9,10,11,3,-3
1559,206,3+(5+5)의 값은?,,MCQ,11,12,13,18,3,0
1560,206,5+(8+□)에서 안쪽 합이 10이 되려면 □는?,,MCQ,1,2,3,4,2,3
1561,1297,"짧은 바늘이 4를, 긴 바늘이 12를 가리키는 시각은?",,MCQ,3시,4시,5시,12시,2,-3
1562,1297,10시일 때 긴 바늘이 가리키는 숫자는?,,MCQ,1,6,10,12,4,0
1563,1297,정오는 몇 시입니까?,,MCQ,6시,10시,12시,자정,3,3
1564,1298,"짧은 바늘이 3과 4 사이, 긴 바늘이 6에 있을 때 시각은?",,MCQ,3시,3시 30분,4시,4시 30분,2,-3
1565,1298,9시 30분에서 긴 바늘이 가리키는 위치는?,,MCQ,3,6,9,12,2,0
1566,1298,시계의 짧은 바늘이 정확히 숫자를 가리키지 않고 두 숫자 사이에 있을 때 어떤 시각일 가능성이 큽니까?,,MCQ,정각,30분이 지난 시각,알 수 없음,정오,2,3
1567,644,"5, 10, 15, ?, 25의 ?에 알맞은 수는?",,MCQ,16,20,22,30,2,-3
1568,644,"1, 2, 1, 2, 1, 2의 규칙은?",,MCQ,1씩 커진다,1과 2가 번갈아 나옴,2씩 커진다,모름,2,0
1569,644,☆-☆-○-☆-☆-○이 반복될 때 9번째 모양은?,,MCQ,☆,○,△,모름,2,3
1570,646,'딸기-귤-딸기-귤'이 반복될 때 6번째 과일은?,,MCQ,딸기,귤,사과,모름,2,-3
1571,646,'◯◯△'이 반복될 때 9번째 모양은?,,MCQ,◯,△,◇,모름,2,0
1572,646,'1-2-3-1-2-3'이 반복될 때 11번째 수는?,,MCQ,1,2,3,4,2,3
1573,645,"2, 4, 6, 8, ?의 ?는?",,MCQ,9,10,11,12,2,-3
1574,645,"5, 10, 15, 20, ?의 ?는?",,MCQ,22,24,25,26,3,0
1575,645,"10, 20, 30, 40, ?, 60에서 ?에 들어갈 수는?",,MCQ,35,45,50,55,3,3
1576,192,9와 1을 모으면 얼마입니까?,,MCQ,8,9,10,11,3,-3
1577,192,10이 되도록 모을 수 있는 짝은?,,MCQ,5와 4,6과 4,7과 4,8과 4,2,0
1578,192,다음 중 모아서 10이 되지 않는 짝은?,,MCQ,3과 7,4와 6,5와 5,6과 5,4,3
1579,186,7+5는 얼마입니까?,,MCQ,11,12,13,14,2,-3
1580,186,8+5는 얼마입니까?,,MCQ,12,13,14,15,2,0
1581,186,9+4를 계산할 때 9를 10으로 만들기 위해 4를 어떻게 가를 수 있습니까?,,MCQ,1과 3,2와 2,3과 1,모두 같다,1,3
1582,185,13-5는 얼마입니까?,,MCQ,7,8,9,10,2,-3
1583,185,14-6은 얼마입니까?,,MCQ,7,8,9,10,2,0
1584,185,15-8을 계산할 때 15를 10과 5로 가른 후 10-8에 5를 더하면 얼마입니까?,,MCQ,5,6,7,8,3,3
1585,835,오각형은 어떤 도형입니까?,,MCQ,변이 4개인 도형,변이 5개인 도형,변이 6개인 도형,변이 7개인 도형,2,-3
1586,835,오각형의 꼭짓점과 변의 수는 같습니까?,,MCQ,같다,다르다,알 수 없다,변이 더 많다,1,0
1587,835,변의 길이가 모두 3 cm인 오각형의 모든 변의 길이의 합은?,,MCQ,12 cm,15 cm,18 cm,25 cm,2,3
1588,836,육각형은 변이 몇 개인 도형입니까?,,MCQ,4개,5개,6개,7개,3,-3
1589,836,다음 중 변과 꼭짓점이 모두 6개인 도형은?,,MCQ,사각형,오각형,육각형,칠각형,3,0
1590,836,한 변의 길이가 2 cm인 정육각형의 모든 변의 길이의 합은?,,MCQ,8 cm,10 cm,12 cm,14 cm,3,3
1591,823,쌓기 나무 2개를 위로 쌓으면 몇 층 탑이 됩니까?,,MCQ,1층,2층,3층,4층,2,-3
1592,823,같은 모양으로 쌓으려면 무엇이 같아야 합니까?,,MCQ,색깔,쌓기 나무의 개수와 위치,종류,크기만,2,0
1593,823,"1층에 4개, 2층에 3개, 3층에 2개의 쌓기 나무를 쌓을 때 사용된 쌓기 나무는?",,MCQ,8,9,10,12,2,3
1594,199,15+9는 얼마입니까?,,MCQ,22,23,24,25,3,-3
1595,199,36+8은 얼마입니까?,,MCQ,42,43,44,45,3,0
1596,199,28+15와 같은 값을 가지는 식은?,,MCQ,30+13,25+18,20+22,35+8,1,3
1597,200,32-9는 얼마입니까?,,MCQ,21,22,23,24,3,-3
1598,200,51-26은 얼마입니까?,,MCQ,23,24,25,26,3,0
1599,200,40-17과 같은 값을 가지는 식은?,,MCQ,30-7,35-12,40-20,50-27,2,3
1600,1444,"책가방, 우산, 신발을 종류로 분류했을 때 신발은 어디에 속합니까?",,MCQ,책가방,우산,신발,어디에도 없다,3,-3
1601,1444,빨간색 토마토 3개와 빨간색 사과 4개를 합한 빨간색 물건은 모두 몇 개입니까?,,MCQ,5,6,7,8,2,0
1602,1444,"운동 종류로 분류한 결과 축구 4명, 농구 3명, 야구 5명이었습니다. 가장 많이 좋아하는 운동은?",,MCQ,축구,농구,야구,같다,3,3
1603,14,90 다음에 10개씩 1개의 묶음을 더한 수는?,,MCQ,95,100,110,200,2,-3
1604,14,100보다 10 작은 수는?,,MCQ,80,90,99,110,2,0
1605,14,90보다 10 큰 수와 99보다 2 큰 수 중 더 큰 수는?,,MCQ,90+10,99+2,같다,모름,2,3
1606,15,100이 5개인 수는?,,MCQ,5,50,500,5000,3,-3
1607,15,800은 100이 몇 개인 수입니까?,,MCQ,6개,7개,8개,9개,3,0
1608,15,900보다 100 큰 수는?,,MCQ,800,1000,9000,910,2,3
1609,16,"100이 1개, 10이 5개, 낱개 8개인 수는?",,MCQ,158,185,518,851,1,-3
1610,16,369에서 십의 자리 숫자는?,,MCQ,3,6,9,369,2,0
1611,16,"100이 5개, 10이 2개, 낱개 0개인 수는?",,MCQ,502,520,5200,25,2,3
1612,17,927에서 일의 자리 숫자는?,,MCQ,2,7,9,927,2,-3
1613,17,583에서 십의 자리 숫자 8이 나타내는 값은?,,MCQ,8,80,800,8000,2,0
1614,17,256에서 백의 자리 숫자 2가 나타내는 값과 일의 자리 숫자 6이 나타내는 값의 합은?,,MCQ,206,26,60,8,1,3
1615,29,"100, 200, 300, ?의 ?는?",,MCQ,310,400,500,600,2,-3
1616,29,"50, 60, 70, 80, ?의 ?는?",,MCQ,81,90,100,800,2,0
1617,29,500에서 50씩 뛰어 세기로 4번 가면 얼마가 됩니까?,,MCQ,650,700,750,800,2,3
1618,30,200과 250 중 더 큰 수는?,,MCQ,200,250,같다,모름,2,-3
1619,30,다음 중 가장 작은 수는?,,MCQ,412,521,387,624,3,0
1620,30,4□2 > 482 가 성립하려면 □에 들어갈 수 있는 가장 작은 수는?,,MCQ,7,8,9,10,3,3
1621,832,원의 둘레는 어떤 모양입니까?,,MCQ,곧은 선,굽은 선,꼭짓점이 많은 선,알 수 없다,2,-3
1622,832,다음 중 원에 속하는 것은?,,MCQ,책 표지,시계 둘레,야구장의 가운데 점,길게 펴진 종이,2,0
1623,832,원의 특징이 아닌 것은?,,MCQ,둥글다,꼭짓점이 없다,변이 곧다,어디에서 봐도 같은 모양이다,3,3
1624,833,삼각형은 변과 꼭짓점이 각각 몇 개입니까?,,MCQ,변 3 꼭짓점 3,변 4 꼭짓점 4,변 3 꼭짓점 4,변 4 꼭짓점 3,1,-3
1625,833,다음 중 삼각형인 것은?,,MCQ,동전,액자,삼각자,컵,3,0
1626,833,변이 3개인 도형의 이름은?,,MCQ,사각형,삼각형,오각형,원,2,3
1627,834,사각형의 변과 꼭짓점의 수는 각각 몇 개씩입니까?,,MCQ,변 4 꼭짓점 4,변 3 꼭짓점 4,변 4 꼭짓점 3,변 5 꼭짓점 5,1,-3
1628,834,다음 중 사각형이 아닌 것은?,,MCQ,책,액자,동전,우편엽서,3,0
